id_zona,demanda,tienda
270,11817,1
300,10301,1
330,22774,1
359,8553,1
360,29098,1
389,16975,1
390,8137,1
1378,14765,2
1379,18961,2
1380,19132,2
1407,9783,2
1408,8956,2
1409,21561,2
1410,23469,2
1440,30116,2
1457,18425,3
1463,18223,3
1488,23521,3
1489,27247,3
1490,28460,3
1491,28271,3
1492,27786,3
1520,29328,3
1521,32074,3
2096,19460,4
2097,7987,4
2098,14088,4
2099,13721,4
2100,23878,4
334,19803,6
335,10496,6
336,9357,6
337,10184,6
338,8094,6
339,31070,6
361,11125,6
362,27612,6
363,32092,6
364,8481,6
365,26163,6
366,20153,6
367,23326,6
368,30446,6
369,22276,6
391,9641,6
392,21049,6
393,21443,6
394,25249,6
395,20629,6
396,30442,6
397,22406,6
398,14422,6
421,12263,6
422,17681,6
423,30557,6
424,15591,6
425,10435,6
426,11827,6
427,25821,6
428,31092,6
451,30589,6
452,12945,6
453,13273,6
454,9149,6
455,26967,6
456,15602,6
457,32356,6
481,15009,6
482,15347,6
483,19077,6
484,14453,6
511,29223,6
648,13953,7
679,23188,7
690,27147,7
709,31047,7
710,25834,7
719,16745,7
720,12456,7
740,23677,7
749,11942,7
750,16578,7
771,21567,7
772,23816,7
778,24561,7
779,24641,7
780,17258,7
802,24099,7
803,31764,7
804,11524,7
808,18521,7
809,23243,7
810,8964,7
834,8520,7
835,23031,7
836,25487,7
837,29860,7
838,31970,7
1482,17403,8
1507,14750,8
1508,11083,8
1509,11846,8
1510,20981,8
1511,30603,8
1538,9154,8
1539,30116,8
80,30745,9
81,22923,9
105,8953,9
106,32143,9
107,13441,9
108,10468,9
109,9178,9
110,10054,9
111,10673,9
135,30110,9
136,30849,9
137,31515,9
138,23464,9
311,13118,9
312,9027,9
313,23975,9
340,22895,9
341,21760,9
370,19002,9
399,28077,9
400,9932,9
429,29939,9
430,31994,9
458,22692,9
459,16695,9
460,13695,9
461,23133,9
489,8694,9
490,22375,9
491,15611,9
500,13851,9
521,13492,9
522,27354,9
528,18797,9
529,24504,9
530,8680,9
553,22467,9
554,20843,9
557,11266,9
558,20557,9
585,29683,9
586,26689,9
587,29000,9
1909,30484,10
1938,19036,10
1939,18398,10
1940,17739,10
1941,8874,10
1942,15457,10
1968,21421,10
1969,11342,10
1970,31725,10
1971,32422,10
1972,12044,10
1998,20788,10
1999,27293,10
2000,30747,10
2001,27660,10
2002,26666,10
2029,24832,10
2030,16555,10
2031,14129,10
2032,14337,10
2059,15550,10
2060,13047,10
2061,30495,10
2062,16458,10
2089,12543,10
2090,13600,10
2091,11045,10
1322,22730,14
1323,16090,14
1351,14876,14
950,21222,15
975,32470,15
977,16575,15
978,12300,15
979,20543,15
1005,12117,15
1006,11428,15
1007,9160,15
1008,25077,15
1181,24744,16
1182,27850,16
1183,26261,16
1208,26844,16
1209,24033,16
1210,29192,16
1211,28228,16
1212,11554,16
1213,25802,16
1239,30484,16
1240,18364,16
1241,31466,16
1242,10938,16
1243,8912,16
1272,26560,16
1273,25149,16
1245,26396,17
1246,11616,17
1247,30785,17
1248,18964,17
1249,28609,17
1250,13256,17
1274,26569,17
1275,27695,17
1276,17452,17
1277,23499,17
