dia,costo_inventario
1,682719929.687
2,515762180.36
3,348747080.954
4,186035749.782
5,96646720.458
6,682695769.711
7,515603994.485
8,348607145.716
9,185995317.659
10,96819827.134
11,682775532.722
12,515694557.065
13,348657918.249
14,185957883.135
15,96578040.724
16,682693757.6240001
17,515675055.873
18,348576744.16400003
19,185847136.224
20,96714750.65
21,682746975.2720001
22,515731924.39500004
23,348663319.90000004
24,186057218.26500002
25,96732941.559
26,682758637.164
27,515768545.125
28,348751407.501
29,186047015.976
30,96799347.896
31,682809506.755
32,515773524.947
33,348754061.66400003
34,186051383.586
35,96626151.628
36,682749536.11
37,515677911.61800003
38,348572473.612
39,185838266.616
40,96575259.639
