id_zona,demanda,tienda
330,23701,1
359,8348,1
360,29155,1
389,16840,1
390,8253,1
1379,18374,2
1380,18976,2
1407,9643,2
1408,8441,2
1409,21449,2
1410,22483,2
1440,30132,2
1457,18584,3
1463,17652,3
1488,23026,3
1489,27298,3
1490,28293,3
1491,28436,3
1492,26653,3
1520,28877,3
1521,31669,3
2099,13497,4
2100,23928,4
310,8913,6
331,10185,6
332,23360,6
333,27107,6
334,20066,6
335,10455,6
336,9751,6
337,10122,6
338,8290,6
339,31884,6
361,11471,6
362,28141,6
363,31953,6
364,8059,6
365,27391,6
366,19952,6
367,22788,6
368,31625,6
369,22152,6
391,9472,6
392,20754,6
393,20771,6
394,24816,6
395,20181,6
396,30925,6
397,22102,6
398,13964,6
421,12578,6
422,16664,6
423,30412,6
424,15699,6
425,10551,6
426,12429,6
427,26085,6
428,31592,6
451,31698,6
452,12545,6
453,13830,6
454,9284,6
455,27480,6
456,15429,6
457,31663,6
481,14983,6
482,15732,6
483,19443,6
484,14640,6
511,29509,6
747,10426,7
748,20094,7
749,11686,7
750,17411,7
771,21380,7
772,22273,7
773,27218,7
774,20862,7
775,14757,7
776,24573,7
777,23533,7
778,24738,7
779,25062,7
780,17413,7
802,23679,7
803,33270,7
804,11940,7
805,11842,7
806,25346,7
807,29422,7
808,18229,7
809,24291,7
810,9281,7
834,8587,7
835,23429,7
836,26637,7
837,30108,7
838,33164,7
1481,31450,8
1482,17344,8
1507,14795,8
1508,11222,8
1509,12149,8
1510,21247,8
1511,28876,8
1538,8901,8
1539,28845,8
80,31295,9
81,22693,9
105,8652,9
106,31027,9
107,13366,9
108,10693,9
109,9084,9
110,9902,9
111,11286,9
135,30848,9
136,29886,9
137,31782,9
138,24590,9
311,12904,9
312,9191,9
313,22881,9
340,22404,9
341,22267,9
370,19309,9
399,27056,9
400,10130,9
429,31614,9
430,31414,9
458,22391,9
459,16726,9
460,13707,9
461,23366,9
489,8574,9
490,22235,9
491,16084,9
500,13764,9
521,13382,9
522,26407,9
528,18710,9
529,24388,9
530,8777,9
553,22376,9
554,20355,9
557,11795,9
558,20148,9
585,30819,9
586,26505,9
587,28990,9
1938,19132,10
1939,19109,10
1940,17476,10
1941,8722,10
1942,15139,10
1968,21606,10
1969,11582,10
1970,30570,10
1971,32064,10
1972,12002,10
1998,19812,10
1999,27358,10
2000,31064,10
2001,27643,10
2002,25788,10
2029,23973,10
2030,16802,10
2031,14208,10
2032,14393,10
2059,15560,10
2060,13325,10
2061,31760,10
2062,16685,10
2089,12547,10
2090,14231,10
2091,11677,10
1322,22772,14
1323,16258,14
1351,14851,14
950,21318,15
975,32653,15
977,16279,15
978,12108,15
979,20320,15
1005,12510,15
1006,11595,15
1007,9060,15
1008,24768,15
1181,24482,16
1182,27395,16
1183,26279,16
1208,26285,16
1209,24612,16
1210,30112,16
1211,27564,16
1212,11626,16
1213,26570,16
1239,30525,16
1240,17964,16
1241,31410,16
1242,11183,16
1243,8467,16
1272,25461,16
1273,25188,16
1245,25749,17
1246,11695,17
1247,29764,17
1248,19568,17
1249,28208,17
1250,12988,17
1274,27584,17
1275,27476,17
1276,17101,17
1277,23525,17
