dia,costo_inventario
1,254914333.226
2,91568952.00400001
3,254961999.903
4,91600734.766
5,254100042.73700002
6,90960756.712
7,254884230.314
8,91582024.97
9,254957240.328
10,91130399.164
11,254957706.953
12,91580994.662
13,254895944.468
14,91571658.429
15,254119002.644
16,90996313.537
17,254984991.45000002
18,91537490.28
19,254898195.467
20,90979126.805
21,254913915.13
22,91554650.881
23,254914295.896
24,91573476.4
25,254197806.27400002
26,91064817.82000001
27,255002446.958
28,91605251.69600001
29,254990938.11900002
30,91023773.485
31,255001677.96
32,91614009.314
33,254951629.629
34,91589166.199
35,254079309.655
36,90929477.905
37,254870037.448
38,91559298.466
39,254796542.144
40,90817555.099
