id_zona,p_k (entero óptimo),A_k(P_i),U_k (entero óptimo),dia
1077,1102834.4,-16762.182879999997,0.0,2
275,1100997.5999999999,-16734.263519999997,0.0,2
1661,1091256.0,-16586.191199999997,0.0,2
1713,1090764.0,-16578.712799999998,0.0,2
1749,1088566.4,-16545.309279999998,0.0,2
1227,1085548.7999999998,-16499.441759999994,0.0,2
94,1085155.2,-16493.459039999998,0.0,2
1900,1084236.7999999998,-16479.499359999994,0.0,2
1290,1084171.2,-16478.502239999998,0.0,2
1328,1083777.5999999999,-16472.519519999998,0.0,2
72,1079382.4,-16405.71248,0.0,2
2076,1077709.5999999999,-16380.285919999998,0.0,2
1170,1073904.7999999998,-16322.452959999997,0.0,2
1954,1073806.4,-16320.957279999999,0.0,2
1362,1072494.4,-16301.014879999999,0.0,2
754,1071543.2,-16286.556639999999,0.0,2
1173,1070001.5999999999,-16263.124319999999,0.0,2
1420,1065770.4,-16198.81008,0.0,2
975,1065016.0,-16187.343200000001,0.0,2
624,1064655.2,-16181.85904,0.0,2
1971,1063441.5999999999,-16163.412319999998,0.0,2
77,1062064.0,-16142.4728,0.0,2
457,1061276.7999999998,-16130.507359999998,0.0,2
34,1061145.5999999999,-16128.513119999998,0.0,2
1296,1061047.2,-16127.01744,0.0,2
1641,1059472.7999999998,-16103.086559999998,0.0,2
1800,1058882.4,-16094.11248,0.0,2
2052,1058357.5999999999,-16086.135519999998,0.0,2
2071,1056848.7999999998,-16063.201759999998,0.0,2
1654,1055766.4,-16046.749279999998,0.0,2
1180,1055700.7999999998,-16045.752159999998,0.0,2
1481,1055602.4,-16044.256479999998,0.0,2
1346,1054618.4,-16029.299679999998,0.0,2
633,1054520.0,-16027.804,0.0,2
106,1054290.4,-16024.314079999998,0.0,2
2066,1054159.2,-16022.31984,0.0,2
154,1053601.5999999999,-16013.844319999998,0.0,2
1873,1053503.2,-16012.34864,0.0,2
1770,1053175.2,-16007.36304,0.0,2
363,1052617.5999999999,-15998.887519999998,0.0,2
206,1052552.0,-15997.8904,0.0,2
1086,1052355.2,-15994.89904,0.0,2
288,1052060.0,-15990.412,0.0,2
1521,1052027.2,-15989.91344,0.0,2
1460,1050616.7999999998,-15968.475359999997,0.0,2
430,1049403.2,-15950.02864,0.0,2
90,1049206.4,-15947.037279999999,0.0,2
1462,1049173.5999999999,-15946.538719999999,0.0,2
838,1048616.0,-15938.0632,0.0,2
1094,1048419.2,-15935.07184,0.0,2
439,1047074.3999999999,-15914.630879999999,0.0,2
219,1045860.7999999999,-15896.184159999999,0.0,2
120,1045729.5999999999,-15894.189919999999,0.0,2
789,1045532.7999999999,-15891.198559999999,0.0,2
1541,1045040.7999999999,-15883.720159999999,0.0,2
1025,1044712.7999999999,-15878.734559999999,0.0,2
1752,1044384.7999999999,-15873.748959999999,0.0,2
1090,1044286.3999999999,-15872.253279999999,0.0,2
1088,1044089.5999999999,-15869.261919999999,0.0,2
1402,1043663.2,-15862.780639999999,0.0,2
1398,1043597.5999999999,-15861.783519999999,0.0,2
1597,1043302.3999999999,-15857.296479999999,0.0,2
803,1041859.2,-15835.35984,0.0,2
1671,1041235.9999999999,-15825.8872,0.0,2
698,1041039.2,-15822.89584,0.0,2
230,1040875.2,-15820.40304,0.0,2
122,1040776.7999999999,-15818.90736,0.0,2
1970,1040579.9999999999,-15815.916,0.0,2
840,1040055.2,-15807.93904,0.0,2
1405,1039825.5999999999,-15804.449119999997,0.0,2
1918,1039595.9999999999,-15800.9592,0.0,2
519,1039300.7999999999,-15796.47216,0.0,2
18,1038972.7999999999,-15791.48656,0.0,2
1215,1038710.3999999999,-15787.49808,0.0,2
949,1038251.2,-15780.51824,0.0,2
1734,1038119.9999999999,-15778.524,0.0,2
1309,1037070.3999999999,-15762.57008,0.0,2
1847,1036873.5999999999,-15759.578719999998,0.0,2
1373,1036545.5999999999,-15754.593119999998,0.0,2
743,1036315.9999999999,-15751.103199999998,0.0,2
1238,1034675.9999999999,-15726.175199999998,0.0,2
1099,1034643.2,-15725.67664,0.0,2
1791,1034413.5999999999,-15722.186719999998,0.0,2
1962,1034315.2,-15720.69104,0.0,2
137,1033691.9999999999,-15711.218399999998,0.0,2
276,1033560.7999999999,-15709.22416,0.0,2
1824,1033527.9999999999,-15708.725599999998,0.0,2
1832,1032347.2,-15690.77744,0.0,2
1881,1032215.9999999999,-15688.783199999998,0.0,2
1241,1032084.7999999999,-15686.78896,0.0,2
499,1031658.3999999999,-15680.307679999998,0.0,2
1292,1031363.2,-15675.82064,0.0,2
488,1030444.7999999999,-15661.86096,0.0,2
991,1030083.9999999999,-15656.376799999998,0.0,2
2051,1029821.5999999999,-15652.388319999998,0.0,2
174,1029165.5999999999,-15642.417119999998,0.0,2
945,1029034.3999999999,-15640.422879999998,0.0,2
753,1028968.7999999999,-15639.42576,0.0,2
82,1028935.9999999999,-15638.927199999998,0.0,2
605,1028804.7999999999,-15636.93296,0.0,2
1605,1028542.3999999999,-15632.944479999998,0.0,2
1565,1028345.5999999999,-15629.953119999998,0.0,2
944,1028115.9999999999,-15626.463199999998,0.0,2
118,1027558.3999999999,-15617.987679999998,0.0,2
287,1027558.3999999999,-15617.987679999998,0.0,2
1401,1027263.2,-15613.50064,0.0,2
1652,1026771.2,-15606.02224,0.0,2
1164,1026147.9999999999,-15596.549599999998,0.0,2
250,1025983.9999999999,-15594.056799999998,0.0,2
1946,1025918.3999999999,-15593.059679999998,0.0,2
2023,1024606.3999999999,-15573.117279999999,0.0,2
889,1024507.9999999999,-15571.621599999999,0.0,2
1413,1024081.5999999999,-15565.140319999999,0.0,2
