dia,costo_inventario
1,254848150.86900002
2,91508092.905
3,254918320.07
4,91483507.367
5,254049113.418
6,90789400.81300001
7,254843238.241
8,91463446.22500001
9,254882864.036
10,91014888.94500001
11,254894619.25300002
12,91408455.402
13,254845354.852
14,91494657.838
15,254106120.06100002
16,90854549.12900001
17,254915453.12600002
18,91463580.613
19,254816715.276
20,90954843.64
21,254851200.73000002
22,91486777.47500001
23,254841390.40600002
24,91447106.884
25,254177569.681
26,90927383.692
27,254927402.45900002
28,91513218.314
29,254899143.64900002
30,90930314.097
31,254922497.29700002
32,91508697.65100001
33,254907415.977
34,91455995.157
35,254029474.10500002
36,90840565.311
37,254820563.999
38,91414954.555
39,254749875.911
40,90716764.099
