dia,costo_inventario
1,682505950.394
2,515337331.36300004
3,348121691.464
4,185219880.234
5,95960972.091
6,682486848.633
7,515214362.61
8,348002104.809
9,185133830.851
10,96053580.355
11,682566641.508
12,515289500.434
13,348019172.08500004
14,185269600.06100002
15,95939298.293
16,682499929.065
17,515276001.906
18,347964390.31
19,185220037.02
20,95962442.893
21,682525671.8330001
22,515314018.778
23,348012053.254
24,185147881.863
25,95987323.338
26,682558268.389
27,515361969.163
28,348128328.73800004
29,185203283.316
30,96048787.183
31,682577567.9990001
32,515357829.26600003
33,348168156.115
34,185212264.914
35,95994602.68800001
36,682522084.4200001
37,515256780.689
38,347952758.282
39,184994519.02400002
40,95935819.13700001
