id_zona,demanda,tienda
330,23629,1
359,8637,1
360,28284,1
389,16817,1
390,8243,1
1378,15022,2
1379,18284,2
1380,20226,2
1407,9853,2
1408,8717,2
1409,21989,2
1410,23528,2
1440,28908,2
1457,18627,3
1463,18221,3
1488,23668,3
1489,27775,3
1490,27128,3
1491,28074,3
1492,27673,3
1520,28605,3
1521,31728,3
2096,18693,4
2097,8333,4
2098,14158,4
2099,13780,4
2100,23942,4
309,12773,6
310,9211,6
331,10259,6
332,23097,6
333,27078,6
334,21417,6
335,10609,6
336,9732,6
337,10224,6
338,8260,6
339,31796,6
361,11252,6
362,28268,6
363,31070,6
364,8012,6
365,27707,6
366,19543,6
367,21875,6
368,31774,6
369,22667,6
391,9762,6
392,21507,6
393,21724,6
394,25002,6
395,19669,6
396,30944,6
397,22681,6
398,14527,6
421,12253,6
422,17202,6
423,30387,6
424,15175,6
425,10901,6
426,12347,6
427,26729,6
428,30729,6
451,30412,6
452,12607,6
453,13542,6
454,9324,6
455,26619,6
456,15504,6
457,32630,6
481,14681,6
482,15337,6
483,19602,6
484,15140,6
511,28947,6
648,13373,7
679,23445,7
690,27666,7
709,29949,7
710,25041,7
719,17070,7
720,12502,7
740,24088,7
749,11929,7
750,16403,7
771,21377,7
772,22997,7
778,24379,7
779,24949,7
780,16982,7
802,23586,7
803,33025,7
804,11484,7
808,17850,7
809,23451,7
810,9087,7
834,8724,7
835,24330,7
836,24824,7
837,28091,7
838,32181,7
1482,17191,8
1507,14662,8
1508,11250,8
1509,12050,8
1510,20756,8
1511,30751,8
1538,8973,8
1539,29073,8
79,31095,9
80,31351,9
81,22772,9
105,8923,9
106,31273,9
107,13266,9
108,10762,9
109,9380,9
110,10155,9
111,10797,9
135,29817,9
136,29338,9
137,32178,9
138,24885,9
311,12725,9
312,9300,9
313,22578,9
340,22245,9
341,21452,9
370,19112,9
399,28561,9
400,10156,9
429,30886,9
430,32491,9
458,22159,9
459,16791,9
460,13630,9
461,23095,9
489,8515,9
490,22145,9
491,16328,9
500,13469,9
521,13371,9
522,27605,9
528,19684,9
529,24309,9
530,8860,9
553,22128,9
554,20917,9
557,11485,9
558,20247,9
585,30495,9
586,26028,9
587,28750,9
1938,18840,10
1939,19490,10
1940,17945,10
1941,8791,10
1942,15188,10
1968,20976,10
1969,11507,10
1970,31105,10
1971,31450,10
1972,11960,10
1998,20688,10
1999,27471,10
2000,30264,10
2001,28418,10
2002,25717,10
2029,24331,10
2030,16285,10
2031,14103,10
2032,14256,10
2059,15843,10
2060,13405,10
2061,32188,10
2062,17058,10
2089,12384,10
2090,13766,10
2091,11392,10
1322,23020,14
1323,16022,14
1351,15047,14
950,21050,15
975,31996,15
977,16683,15
978,11820,15
979,20682,15
1005,12228,15
1006,11443,15
1007,9137,15
1008,25788,15
1178,26742,16
1181,24145,16
1182,27494,16
1183,25413,16
1208,26667,16
1209,24925,16
1210,29237,16
1211,27915,16
1212,11575,16
1213,27138,16
1239,31153,16
1240,18492,16
1241,31882,16
1242,10905,16
1243,8676,16
1272,26228,16
1273,25222,16
1245,25339,17
1246,11263,17
1247,31141,17
1248,19002,17
1249,27862,17
1250,12889,17
1274,27377,17
1275,27724,17
1276,17595,17
1277,23475,17
