dia,costo_inventario
1,253733462.137
2,89359183.98900001
3,253813370.735
4,89379864.809
5,252934667.331
6,88713905.075
7,253743627.09600002
8,89301326.222
9,253766099.756
10,88861283.915
11,253798953.889
12,89304189.433
13,253753478.483
14,89319912.829
15,252985958.75100002
16,88687680.75
17,253790158.941
18,89312196.71800001
19,253720437.70000002
20,88796150.531
21,253770736.14200002
22,89357403.348
23,253754523.72300002
24,89275109.363
25,253039056.94300002
26,88824984.223
27,253844492.756
28,89369856.636
29,253802992.995
30,88816898.545
31,253822199.28
32,89387263.61500001
33,253788635.877
34,89337704.307
35,252910096.725
36,88684836.204
37,253725529.512
38,89246533.248
39,253646285.388
40,88609922.36
