dia,costo_inventario
1,683239742.4710001
2,516756715.021
3,350253436.046
4,188047183.507
5,98370776.64400001
6,683210192.043
7,516629132.28000003
8,350158871.69
9,187988332.762
10,98484618.212
11,683283108.732
12,516743223.959
13,350173893.282
14,188047086.449
15,98444936.422
16,683196753.243
17,516716465.815
18,350129347.393
19,187902645.48000002
20,98331957.177
21,683239320.642
22,516728486.075
23,350177503.093
24,188026092.057
25,98487235.045
26,683254883.519
27,516792047.866
28,350295585.34900004
29,188012164.234
30,98393189.576
31,683327072.273
32,516817182.15500003
33,350303532.906
34,188077237.89000002
35,98319503.889
36,683245390.5
37,516650152.80300003
38,350072728.982
39,187875861.205
40,98379411.073
