id_zona,demanda,tienda
270,11910,1
300,10021,1
330,23210,1
359,8780,1
360,28863,1
389,16669,1
390,8285,1
1379,18486,2
1380,19967,2
1407,9636,2
1408,8999,2
1409,21921,2
1410,22731,2
1440,29731,2
1433,21260,3
1457,18512,3
1463,18129,3
1488,22849,3
1489,26477,3
1490,27308,3
1491,27192,3
1492,27155,3
1520,29413,3
1521,30895,3
2097,8396,4
2098,14011,4
2099,13576,4
2100,23465,4
334,19946,6
335,10517,6
336,9681,6
337,10328,6
338,8428,6
339,31125,6
361,11228,6
362,27290,6
363,32383,6
364,8166,6
365,27085,6
366,20025,6
367,22675,6
368,31955,6
369,21894,6
391,9767,6
392,20554,6
393,21279,6
394,25264,6
395,19966,6
396,29780,6
397,22866,6
398,14329,6
421,12349,6
422,17074,6
423,29992,6
424,15369,6
425,10483,6
426,12973,6
427,27242,6
428,30067,6
451,31137,6
452,12393,6
453,13433,6
454,9258,6
455,27145,6
456,15592,6
457,31181,6
481,15315,6
482,15622,6
483,18822,6
484,15053,6
511,27931,6
746,16137,7
747,10234,7
748,19859,7
749,11775,7
750,16827,7
771,22228,7
772,22982,7
773,28198,7
774,21636,7
775,14963,7
776,24649,7
777,23730,7
778,24628,7
779,25059,7
780,17334,7
802,23893,7
803,32948,7
804,11357,7
805,11625,7
806,24648,7
807,29146,7
808,18368,7
809,23819,7
810,9208,7
834,8600,7
835,23275,7
836,25762,7
837,29195,7
838,32262,7
1480,15765,8
1481,31653,8
1482,17364,8
1507,15136,8
1508,11413,8
1509,12275,8
1510,20884,8
1511,30963,8
1538,9310,8
1539,30410,8
78,17064,9
79,30519,9
80,30479,9
81,23271,9
105,8394,9
106,32045,9
107,13124,9
108,10460,9
109,9294,9
110,10304,9
111,10970,9
135,29093,9
136,29047,9
137,31777,9
138,24931,9
311,12933,9
312,9257,9
313,23052,9
340,21959,9
341,21894,9
370,19137,9
399,28171,9
400,10256,9
429,30202,9
430,32246,9
458,21760,9
459,16369,9
460,14081,9
461,22971,9
489,8761,9
490,21709,9
491,16141,9
500,13788,9
521,13544,9
522,27352,9
528,18568,9
529,25013,9
530,8655,9
553,22110,9
554,20398,9
557,11644,9
558,20148,9
585,29817,9
586,26771,9
587,29274,9
1938,18835,10
1939,19289,10
1940,17804,10
1941,8648,10
1942,15083,10
1968,21290,10
1969,11605,10
1970,31462,10
1971,31738,10
1972,11901,10
1998,21272,10
1999,27462,10
2000,30291,10
2001,27886,10
2002,26879,10
2029,24498,10
2030,16313,10
2031,14289,10
2032,14492,10
2059,15816,10
2060,13329,10
2061,31300,10
2062,17107,10
2089,12096,10
2090,13855,10
2091,11669,10
1322,23333,14
1323,16174,14
1351,14767,14
950,21685,15
975,31250,15
977,16936,15
978,11819,15
979,19671,15
1005,12550,15
1006,11346,15
1007,8870,15
1008,25526,15
1181,23947,16
1182,27397,16
1183,26474,16
1208,27006,16
1209,24947,16
1210,29421,16
1211,28166,16
1212,11617,16
1213,26787,16
1239,30327,16
1240,18332,16
1241,31324,16
1242,11076,16
1243,8971,16
1272,26184,16
1273,25044,16
1245,25256,17
1246,11542,17
1247,30348,17
1248,19168,17
1249,28953,17
1250,13310,17
1274,27343,17
1275,26800,17
1276,17641,17
1277,23920,17
