,id_tienda,id_producto,venta_tienda
0,1,1,0
1,1,2,21
2,1,3,22
3,1,4,30
4,1,5,1
5,1,6,6
6,1,7,32
7,1,8,29
8,1,9,19
9,1,10,3
10,1,11,10
11,1,12,43
12,1,13,41
13,1,14,9
14,1,15,41
15,1,16,20
16,1,17,18
17,1,18,5
18,1,19,23
19,1,20,13
20,1,21,14
21,1,22,0
22,1,23,20
23,1,24,12
24,1,25,16
25,1,26,1
26,1,27,1
27,1,28,11
28,1,29,15
29,1,30,11
30,1,31,49
31,1,32,14
32,1,33,2
33,1,34,24
34,1,35,24
35,1,36,12
36,1,37,35
37,1,38,26
38,1,39,3
39,1,40,40
40,1,41,45
41,1,42,28
42,1,43,31
43,1,44,51
44,1,45,45
45,1,46,15
46,1,47,18
47,1,48,27
48,1,49,13
49,1,50,40
50,1,51,53
51,1,52,18
52,1,53,15
53,1,54,12
54,1,55,29
55,1,56,15
56,1,57,29
57,1,58,19
58,1,59,2
59,1,60,16
60,1,61,51
61,1,62,48
62,1,63,53
63,1,64,14
64,1,65,28
65,1,66,28
66,1,67,32
67,1,68,20
68,1,69,23
69,1,70,37
70,1,71,22
71,1,72,45
72,1,73,45
73,1,74,27
74,1,75,12
75,1,76,23
76,1,77,24
77,1,78,15
78,1,79,5
79,1,80,43
80,1,81,51
81,1,82,50
82,1,83,29
83,1,84,8
84,1,85,27
85,1,86,15
86,1,87,37
87,1,88,1
88,1,89,20
89,1,90,3
90,1,91,45
91,1,92,2
92,1,93,19
93,1,94,10
94,1,95,39
95,1,96,16
96,1,97,15
97,1,98,5
98,1,99,43
99,1,100,13
100,1,101,5
101,1,102,0
102,1,103,30
103,1,104,23
104,1,105,2
105,1,106,22
106,1,107,48
107,1,108,1
108,1,109,26
109,1,110,3
110,1,111,11
111,1,112,33
112,1,113,24
113,1,114,23
114,1,115,32
115,1,116,12
116,1,117,51
117,1,118,27
118,1,119,0
119,1,120,2
120,1,121,21
121,1,122,19
122,1,123,0
123,1,124,23
124,1,125,13
125,1,126,25
126,1,127,25
127,1,128,54
128,1,129,54
129,1,130,0
130,1,131,22
131,1,132,24
132,1,133,28
133,1,134,0
134,1,135,29
135,1,136,39
136,1,137,24
137,1,138,18
138,1,139,29
139,1,140,32
140,1,141,21
141,1,142,28
142,1,143,24
143,1,144,0
144,1,145,31
145,1,146,16
146,1,147,3
147,1,148,29
148,1,149,12
149,1,150,18
150,1,151,8
151,1,152,14
152,1,153,10
153,1,154,36
154,1,155,35
155,1,156,32
156,1,157,19
157,1,158,34
158,1,159,6
159,1,160,6
160,1,161,32
161,1,162,31
162,1,163,10
163,1,164,35
164,1,165,8
165,1,166,21
166,1,167,9
167,1,168,3
168,1,169,10
169,1,170,42
170,1,171,3
171,1,172,51
172,1,173,25
173,1,174,13
174,1,175,50
175,1,176,41
176,1,177,40
177,1,178,13
178,1,179,19
179,1,180,12
180,1,181,52
181,1,182,51
182,1,183,23
183,1,184,35
184,1,185,18
185,1,186,17
186,1,187,38
187,1,188,16
188,1,189,21
189,1,190,18
190,1,191,43
191,1,192,30
192,1,193,13
193,1,194,2
194,1,195,3
195,1,196,27
196,1,197,17
197,1,198,46
198,1,199,9
199,1,200,40
200,1,201,24
201,1,202,21
202,1,203,24
203,1,204,8
204,1,205,43
205,1,206,0
206,1,207,5
207,1,208,35
208,1,209,10
209,1,210,17
210,1,211,43
211,1,212,44
212,1,213,31
213,1,214,27
214,1,215,22
215,1,216,25
216,1,217,54
217,1,218,53
218,1,219,0
219,1,220,21
220,1,221,8
221,1,222,33
222,1,223,24
223,1,224,10
224,1,225,29
225,1,226,6
226,1,227,5
227,1,228,2
228,1,229,2
229,1,230,8
230,1,231,13
231,1,232,39
232,1,233,22
233,1,234,2
234,1,235,29
235,1,236,33
236,1,237,4
237,1,238,30
238,1,239,30
239,1,240,30
240,1,241,27
241,1,242,16
242,1,243,28
243,1,244,18
244,1,245,16
245,1,246,12
246,1,247,3
247,1,248,33
248,1,249,0
249,1,250,28
250,1,251,10
251,1,252,32
252,1,253,5
253,1,254,52
254,1,255,40
255,1,256,6
256,1,257,5
257,1,258,37
258,1,259,45
259,1,260,15
260,1,261,45
261,1,262,28
262,1,263,3
263,1,264,46
264,1,265,5
265,1,266,24
266,1,267,15
267,1,268,15
268,1,269,0
269,1,270,24
270,1,271,19
271,1,272,14
272,1,273,42
273,1,274,25
274,1,275,5
275,1,276,45
