,id_tienda,id_producto,venta_tienda
0,1,1,0
1,1,2,22
2,1,3,19
3,1,4,40
4,1,5,2
5,1,6,8
6,1,7,29
7,1,8,37
8,1,9,27
9,1,10,3
10,1,11,12
11,1,12,56
12,1,13,47
13,1,14,9
14,1,15,49
15,1,16,17
16,1,17,17
17,1,18,5
18,1,19,18
19,1,20,4
20,1,21,13
21,1,22,0
22,1,23,27
23,1,24,21
24,1,25,21
25,1,26,1
26,1,27,2
27,1,28,14
28,1,29,12
29,1,30,11
30,1,31,42
31,1,32,14
32,1,33,1
33,1,34,26
34,1,35,21
35,1,36,16
36,1,37,29
37,1,38,25
38,1,39,0
39,1,40,38
40,1,41,54
41,1,42,29
42,1,43,36
43,1,44,43
44,1,45,51
45,1,46,11
46,1,47,23
47,1,48,33
48,1,49,8
49,1,50,27
50,1,51,54
51,1,52,21
52,1,53,16
53,1,54,8
54,1,55,24
55,1,56,10
56,1,57,22
57,1,58,23
58,1,59,2
59,1,60,17
60,1,61,43
61,1,62,43
62,1,63,47
63,1,64,21
64,1,65,30
65,1,66,26
66,1,67,29
67,1,68,23
68,1,69,30
69,1,70,41
70,1,71,21
71,1,72,34
72,1,73,49
73,1,74,26
74,1,75,13
75,1,76,10
76,1,77,19
77,1,78,18
78,1,79,15
79,1,80,37
80,1,81,55
81,1,82,42
82,1,83,37
83,1,84,7
84,1,85,24
85,1,86,16
86,1,87,42
87,1,88,0
88,1,89,35
89,1,90,5
90,1,91,37
91,1,92,0
92,1,93,17
93,1,94,7
94,1,95,30
95,1,96,15
96,1,97,13
97,1,98,7
98,1,99,59
99,1,100,10
100,1,101,10
101,1,102,1
102,1,103,29
103,1,104,20
104,1,105,0
105,1,106,27
106,1,107,51
107,1,108,2
108,1,109,33
109,1,110,5
110,1,111,10
111,1,112,39
112,1,113,40
113,1,114,24
114,1,115,35
115,1,116,10
116,1,117,46
117,1,118,25
118,1,119,0
119,1,120,0
120,1,121,10
121,1,122,22
122,1,123,0
123,1,124,18
124,1,125,18
125,1,126,20
126,1,127,25
127,1,128,43
128,1,129,53
129,1,130,0
130,1,131,12
131,1,132,16
132,1,133,30
133,1,134,0
134,1,135,36
135,1,136,29
136,1,137,27
137,1,138,17
138,1,139,26
139,1,140,32
140,1,141,18
141,1,142,32
142,1,143,19
143,1,144,1
144,1,145,40
145,1,146,16
146,1,147,2
147,1,148,26
148,1,149,9
149,1,150,19
150,1,151,11
151,1,152,10
152,1,153,8
153,1,154,31
154,1,155,30
155,1,156,27
156,1,157,10
157,1,158,40
158,1,159,8
159,1,160,0
160,1,161,43
161,1,162,43
162,1,163,8
163,1,164,27
164,1,165,7
165,1,166,16
166,1,167,15
167,1,168,3
168,1,169,12
169,1,170,29
170,1,171,4
171,1,172,55
172,1,173,30
173,1,174,6
174,1,175,46
175,1,176,37
176,1,177,40
177,1,178,8
178,1,179,18
179,1,180,16
180,1,181,32
181,1,182,43
182,1,183,19
183,1,184,41
184,1,185,14
185,1,186,16
186,1,187,23
187,1,188,21
188,1,189,21
189,1,190,19
190,1,191,37
191,1,192,29
192,1,193,13
193,1,194,0
194,1,195,8
195,1,196,29
196,1,197,7
197,1,198,45
198,1,199,16
199,1,200,44
200,1,201,18
201,1,202,19
202,1,203,24
203,1,204,5
204,1,205,51
205,1,206,1
206,1,207,3
207,1,208,42
208,1,209,6
209,1,210,17
210,1,211,37
211,1,212,44
212,1,213,24
213,1,214,27
214,1,215,27
215,1,216,32
216,1,217,46
217,1,218,53
218,1,219,2
219,1,220,21
220,1,221,8
221,1,222,35
222,1,223,17
223,1,224,20
224,1,225,37
225,1,226,2
226,1,227,14
227,1,228,4
228,1,229,1
229,1,230,8
230,1,231,18
231,1,232,34
232,1,233,19
233,1,234,3
234,1,235,20
235,1,236,40
236,1,237,8
237,1,238,29
238,1,239,28
239,1,240,37
240,1,241,39
241,1,242,13
242,1,243,29
243,1,244,8
244,1,245,13
245,1,246,13
246,1,247,3
247,1,248,43
248,1,249,2
249,1,250,28
250,1,251,13
251,1,252,22
252,1,253,7
253,1,254,45
254,1,255,35
255,1,256,5
256,1,257,8
257,1,258,44
258,1,259,41
259,1,260,14
260,1,261,32
261,1,262,27
262,1,263,2
263,1,264,42
264,1,265,3
265,1,266,18
266,1,267,19
267,1,268,24
268,1,269,0
269,1,270,18
270,1,271,14
271,1,272,18
272,1,273,40
273,1,274,18
274,1,275,8
275,1,276,49
276,1,277,49
277,1,278,18
278,1,279,3
279,1,280,2
280,1,281,19
281,1,282,3
282,1,283,37
283,1,284,13
284,1,285,16
285,1,286,21
286,1,287,41
287,1,288,21
288,1,289,16
289,1,290,22
290,1,291,10
291,1,292,16
292,1,293,23
293,1,294,51
294,1,295,38
295,1,296,40
296,1,297,29
297,1,298,44
298,1,299,40
299,1,300,39
300,1,301,6
301,1,302,24
302,1,303,38
303,1,304,15
304,1,305,1
305,1,306,29
306,1,307,15
307,1,308,55
308,1,309,8
309,1,310,27
310,1,311,49
311,1,312,21
312,1,313,9
313,1,314,10
314,1,315,37
315,1,316,45
316,1,317,25
317,1,318,32
318,1,319,8
319,1,320,18
320,1,321,49
321,1,322,21
322,1,323,13
323,1,324,16
324,1,325,35
