dia,costo_inventario
1,682058871.382
2,514407172.287
3,346755260.411
4,183536607.073
5,94877442.71000001
6,682052084.788
7,514330418.074
8,346682358.654
9,183457221.095
10,94875658.336
11,682124363.1340001
12,514387495.644
13,346675698.982
14,183427099.518
15,94861536.397
16,682020227.366
17,514345107.429
18,346596914.017
19,183449672.969
20,94958250.961
21,682096141.654
22,514388320.637
23,346677561.749
24,183469857.3
25,94948679.549
26,682098120.144
27,514477322.823
28,346784848.169
29,183523011.48700002
30,94930287.058
31,682147604.792
32,514447477.48800004
33,346770838.22
34,183504977.364
35,94917385.81
36,682071201.4810001
37,514331455.848
38,346597948.058
39,183251879.96400002
40,94750210.871
