id_zona,p_k (entero óptimo),A_k(P_i),U_k (entero óptimo),dia
275,1116348.0,-16967.5896,0.0,13
597,1095716.7999999998,-16653.995359999997,0.0,13
838,1089222.4,-16555.280479999998,0.0,13
137,1080760.0,-16426.652,0.0,13
1881,1079710.4,-16410.69808,0.0,13
1159,1076463.2,-16361.34064,0.0,13
288,1075577.5999999999,-16347.879519999999,0.0,13
1090,1073740.7999999998,-16319.960159999997,0.0,13
1346,1070756.0,-16274.5912,0.0,13
1420,1070592.0,-16272.0984,0.0,13
1873,1070428.0,-16269.6056,0.0,13
1227,1070100.0,-16264.62,0.0,13
1824,1069050.4,-16248.666079999999,0.0,13
1296,1068492.7999999998,-16240.190559999997,0.0,13
90,1068361.5999999999,-16238.19632,0.0,13
120,1067180.7999999998,-16220.248159999997,0.0,13
1541,1066852.7999999998,-16215.262559999997,0.0,13
1832,1066328.0,-16207.285600000001,0.0,13
1405,1066229.5999999999,-16205.789919999997,0.0,13
18,1065770.4,-16198.81008,0.0,13
1086,1064655.2,-16181.85904,0.0,13
457,1064196.0,-16174.879200000001,0.0,13
1025,1064032.0,-16172.386400000001,0.0,13
1954,1064032.0,-16172.386400000001,0.0,13
1170,1062129.5999999999,-16143.469919999998,0.0,13
106,1062031.2,-16141.97424,0.0,13
585,1060489.5999999999,-16118.541919999998,0.0,13
154,1060161.5999999999,-16113.556319999998,0.0,13
624,1059997.5999999999,-16111.063519999998,0.0,13
1328,1059800.7999999998,-16108.072159999998,0.0,13
1088,1059177.5999999999,-16098.599519999998,0.0,13
1460,1059079.2,-16097.10384,0.0,13
803,1056520.7999999998,-16058.216159999998,0.0,13
488,1056258.4,-16054.227679999998,0.0,13
77,1055405.5999999999,-16041.265119999998,0.0,13
1654,1055241.5999999999,-16038.772319999998,0.0,13
1164,1055077.5999999999,-16036.279519999998,0.0,13
698,1054356.0,-16025.3112,0.0,13
1173,1054192.0,-16022.8184,0.0,13
1290,1054126.4,-16021.821279999998,0.0,13
1918,1053568.7999999998,-16013.345759999998,0.0,13
1671,1052978.4,-16004.371679999998,0.0,13
622,1052289.5999999999,-15993.901919999998,0.0,13
753,1052092.7999999998,-15990.910559999997,0.0,13
1122,1051666.4,-15984.429279999998,0.0,13
230,1051174.4,-15976.950879999999,0.0,13
1103,1050748.0,-15970.4696,0.0,13
1990,1050452.7999999998,-15965.982559999997,0.0,13
743,1050256.0,-15962.9912,0.0,13
949,1049403.2,-15950.02864,0.0,13
1900,1048320.7999999999,-15933.576159999999,0.0,13
889,1048025.5999999999,-15929.089119999999,0.0,13
633,1047500.7999999999,-15921.112159999999,0.0,13
1481,1046680.7999999999,-15908.648159999999,0.0,13
2052,1046385.5999999999,-15904.161119999999,0.0,13
339,1045434.3999999999,-15889.702879999999,0.0,13
1094,1045401.5999999999,-15889.204319999999,0.0,13
1373,1043466.3999999999,-15859.789279999999,0.0,13
1412,1043302.3999999999,-15857.296479999999,0.0,13
1713,1041629.5999999999,-15831.869919999997,0.0,13
1402,1041235.9999999999,-15825.8872,0.0,13
499,1041039.2,-15822.89584,0.0,13
519,1041039.2,-15822.89584,0.0,13
1652,1040809.5999999999,-15819.405919999997,0.0,13
1991,1040743.9999999999,-15818.4088,0.0,13
1180,1040120.7999999999,-15808.93616,0.0,13
250,1039923.9999999999,-15805.9448,0.0,13
429,1039727.2,-15802.95344,0.0,13
72,1039333.5999999999,-15796.970719999998,0.0,13
1462,1038644.7999999999,-15786.50096,0.0,13
789,1038644.7999999999,-15786.50096,0.0,13
82,1037726.3999999999,-15772.54128,0.0,13
1971,1037627.9999999999,-15771.0456,0.0,13
1012,1037398.3999999999,-15767.55568,0.0,13
451,1037037.5999999999,-15762.071519999998,0.0,13
1659,1036184.7999999999,-15749.10896,0.0,13
287,1036151.9999999999,-15748.610399999998,0.0,13
1962,1035495.9999999999,-15738.639199999998,0.0,13
975,1035495.9999999999,-15738.639199999998,0.0,13
1791,1035331.9999999999,-15736.146399999998,0.0,13
1292,1034872.7999999999,-15729.16656,0.0,13
1099,1034839.9999999999,-15728.667999999998,0.0,13
1749,1034446.3999999999,-15722.68528,0.0,13
944,1033724.7999999999,-15711.71696,0.0,13
1605,1033265.5999999999,-15704.737119999998,0.0,13
