dia,costo_inventario
1,254394520.442
2,90574421.076
3,254450175.739
4,90600675.265
5,253588140.18
6,89901577.69
7,254373507.38500002
8,90571602.661
9,254411583.985
10,90108333.628
11,254450123.477
12,90547536.01
13,254428640.062
14,90526269.109
15,253629501.82
16,89970574.729
17,254446577.127
18,90504087.623
19,254373929.21400002
20,89993271.369
21,254421569.76000002
22,90588946.179
23,254396670.65
24,90582081.192
25,253709149.108
26,90034319.437
27,254475183.106
28,90610186.949
29,254444710.627
30,90066983.187
31,254484108.70900002
32,90619317.867
33,254445811.86200002
34,90577146.16600001
35,253593246.924
36,89934525.148
37,254393650.653
38,90465999.824
39,254277920.187
40,89856546.511
