dia,costo_inventario
1,254037862.15600002
2,89849793.514
3,254075483.33
4,89888075.429
5,253192468.31100002
6,89233911.97500001
7,253997418.83400002
8,89863609.347
9,254034771.232
10,89386938.844
11,254041755.675
12,89790028.184
13,254023725.285
14,89852216.231
15,253228525.358
16,89309628.414
17,254061197.139
18,89863310.707
19,253967536.169
20,89370707.76
21,254030530.544
22,89827335.786
23,254023818.61
24,89886473.972
25,253323253.96600002
26,89311364.259
27,254063746.778
28,89884480.55
29,254089493.279
30,89291859.334
31,254082045.944
32,89923718.113
33,254071283.705
34,89897497.521
35,253159054.22800002
36,89231687.10700001
37,253998057.17700002
38,89744881.282
39,253912575.21
40,89157587.057
